text,label,target,text_pl
Report: Court Documents Show FBI Used Best Buy ‘Geek Squad’ to Gather Evidence,clickbait,1,"Raport: Z dokumentów sądowych wynika, że ​​FBI wykorzystywało „Geek Squad” Best Buy do gromadzenia dowodów"
"With a Swipe at Bush, Obama Acts to Bolster Labor",news,0,"Uderzając w Busha, Obama działa na rzecz wzmocnienia Partii Pracy"
21 Pictures That Are Way Too Real For People Who Grew Up With Strict Parents,clickbait,1,"21 zdjęć, które są zbyt realne dla osób, które dorastały z surowymi rodzicami"
People reveal the EXACT moment they knew they'd met The One (including the first time they broke wind in front of each other),clickbait,1,"Ludzie ujawniają DOKŁADNY moment, w którym wiedzieli, że spotkali Tego Jedynego (w tym moment, w którym po raz pierwszy przełamali wiatr przed sobą)"
"Kirk Cousins, Redskins Reportedly Discussing Long-Term Contract Extension",news,0,"Kirk Cousins, Redskins podobno omawia długoterminowe przedłużenie kontraktu"
"45 Things You Probably Didn't Know About ""The Sisterhood Of The Traveling Pants""",clickbait,1,"45 rzeczy, których prawdopodobnie nie wiedziałeś o „Siostrach podróżujących spodni”"
Pigskin A Blanket: NFL Week 3 Picks,clickbait,1,Koc ze świńskiej skóry: typy z trzeciego tygodnia NFL
"17 Incredible ""Degrassi"" Fashion Moments",clickbait,1,17 niesamowitych momentów mody „Degrassi”.
Nick Offerman And Megan Mullally Are Really Into Puzzles And It's Totally Adorable,clickbait,1,Nick Offerman i Megan Mullally naprawdę lubią łamigłówki i są po prostu urocze
Here's How 10 People Visualize Their Depression,clickbait,1,Oto jak 10 osób wizualizuje swoją depresję
Study Suggests Higher Failures for Heart Device,news,0,Badanie sugeruje większą awaryjność urządzeń kardiologicznych
This Refugee Developed Smart Jewelry To Protect Women From Assault,clickbait,1,"Ten uchodźca stworzył inteligentną biżuterię, aby chronić kobiety przed napaścią"
"When A Farmer Was Too Sick To Harvest His Crops, The Community Banded Together To Do It For Him",clickbait,1,"Kiedy rolnik był zbyt chory, aby zebrać plony, społeczność zebrała się, aby zrobić to za niego"
21 Things Everyone Who Does BodyPump Will Understand,clickbait,1,"21 rzeczy, które zrozumie każdy, kto ćwiczy BodyPump"
Drop in Air Travel Offsets  Cheaper Fuel Costs at American,news,0,Spadek liczby podróży lotniczych rekompensuje niższe koszty paliwa w American
Can You Guess The 25 Most Common Passwords,clickbait,1,Czy potrafisz odgadnąć 25 najpopularniejszych haseł?
‘Dilbert’ Creator Scott Adams to Stop Donating to Alma Mater UC Berkeley,clickbait,1,Twórca „Dilberta” Scott Adams zaprzestanie przekazywania datków na rzecz Alma Mater UC Berkeley
Natalie Glebova is elected Miss Universe,news,0,Natalie Glebova została wybrana Miss Universe
Nick Saban’s Grand Recruitment Tool: A Piano,clickbait,1,Wielkie narzędzie rekrutacyjne Nicka Sabana: fortepian
If Presidential Candidates Were Reimagined As Valentine's Day Cards,clickbait,1,Gdyby kandydatów na prezydenta ponownie wyobrazić sobie jako kartki walentynkowe
12 Things You Probably Didn't Know About Happiness,clickbait,1,"12 rzeczy, których prawdopodobnie nie wiedziałeś o szczęściu"
US plan for broadband Internet released,news,0,Opublikowano amerykański plan dotyczący szerokopasmowego Internetu
Bank of America to Retain Merrill Lynch Name,news,0,Bank of America zachowa nazwę Merrill Lynch
14 Times Canada Completely Ruined Your Halloween,clickbait,1,14 razy Kanada całkowicie zrujnowała Twoje Halloween
On Resilience: How This YouTube Star Triumphed Over Crippling Anxiety To Garner More Than 100M Views,news,0,O odporności: jak ta gwiazda YouTube zatriumfowała nad paraliżującym lękiem i zdobyła ponad 100 milionów wyświetleń
Boy killed by shark in Australia,news,0,Chłopiec zabity przez rekina w Australii
Kelly Ripa Got Her Walk Of Fame Star And Everything About It Was Adorable,clickbait,1,"Kelly Ripa została gwiazdą Alei Gwiazd i wszystko, co było z nią związane, było urocze"
NBA's 2017 All-Star Game unis lack New Orleans flair seen in past,news,0,Drużynom NBA biorącym udział w All-Star Game 2017 brakuje nowoorleańskiego stylu znanego z przeszłości
"This Couple Did A ""La La Land"" Engagement Shoot And It’s Pretty Cute",news,0,Ta para zrobiła sesję zaręczynową „La La Land” i jest całkiem urocza
"William Gibson, American playwright, dies at age 94",news,0,"W wieku 94 lat zmarł William Gibson, amerykański dramaturg"
Fall sweeps through Texas,news,0,Jesień ogarnia Teksas
Everything we know about In-N-Out’s reclusive 35-year-old president who just became one of the youngest billionaires in America,news,0,"Wszystko, co wiemy o 35-letnim prezydencie In-N-Out, który właśnie stał się jednym z najmłodszych miliarderów w Ameryce"
Animated map shows the US metropolitan areas where the most immigrants are living illegally,news,0,"Animowana mapa pokazuje obszary metropolitalne USA, w których żyje najwięcej imigrantów nielegalnie"
"Your Hair Dye Is Killing You, According to This Advocacy Group",clickbait,1,Według tej grupy wsparcia Twoja farba do włosów Cię zabija
Bro Do You Even Pluck,clickbait,1,"Bracie, czy ty w ogóle skubasz"
25 Emotional Stages Of Being In A Long Distance Relationship,clickbait,1,25 emocjonalnych etapów bycia w związku na odległość
"After a Mere 25 Years, the Triumph of the West Is Over",news,0,Po zaledwie 25 latach triumf Zachodu dobiegł końca
"Here's What ""Back To The Future"" Got Right And Wrong About 2015, According To Neil deGrasse Tyson",clickbait,1,"Według Neila deGrasse Tysona: oto, co w 2015 roku było dobre, a co złe w „Powrocie do przyszłości”"
"Brandon Phillips to Be Traded to Braves: Latest Details, Comments and Reaction",news,0,"Brandon Phillips zostanie sprzedany Braves: najnowsze szczegóły, komentarze i reakcja"
So It Looks Like Taylor Swift And Calvin Harris Maybe Aren't Broken Up After All,clickbait,1,"Wygląda więc na to, że Taylor Swift i Calvin Harris wcale nie są zerwani"
How Old Are You Actually Based On Your Favourite Swear Word,clickbait,1,Ile masz właściwie lat na podstawie Twojego ulubionego przekleństwa
"Are You More ""In The Heights"" Or ""Hamilton""",clickbait,1,Jesteś bardziej „In The Heights” czy „Hamilton”
15 Songs You Loved (But Forgot About) From 10 Years Ago,clickbait,1,"15 piosenek, które pokochałeś (ale o których zapomniałeś) sprzed 10 lat"
"Another Avalanche Hits Army Post In Kupwara, 5 Soldiers Go Missing, Death Toll Crosses 20",news,0,"Kolejna lawina uderzyła w posterunek wojskowy w Kupwara, 5 żołnierzy zaginęło, liczba ofiar śmiertelnych przekroczyła 20"
Vancouver-Kingsway riding is clash between NDP and Liberals,news,0,Jazda Vancouver-Kingsway to starcie między NDP a liberałami
